date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:31	145920/145920	---MCZ	200	added ('OK')	text/html	etag:W/%22eb8acdd155f0b87d4af31cdd9afe2e5a%22	https://austry-html.vercel.app/index.html	E:/Templates/austry(sai)/austry-html.vercel.app/index.html	(from )
10:32:32	1445/1445	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jun%202023%2005:02:31%20GMT	https://austry-html.vercel.app/robots.txt		(from )
10:32:32	44627/44627	---M--	200	added ('OK')	image/png	etag:%22a8785664a0be483bcd1858262ef1273a%22	https://austry-html.vercel.app/assets/images/favicons/apple-touch-icon.png	E:/Templates/austry(sai)/austry-html.vercel.app/assets/images/favicons/apple-touch-icon.png	(from https://austry-html.vercel.app/index.html)
10:32:32	2480/2480	---M--	200	added ('OK')	image/png	etag:%222017588068081c5734b7201a205c2f11%22	https://austry-html.vercel.app/assets/images/favicons/favicon-32x32.png	E:/Templates/austry(sai)/austry-html.vercel.app/assets/images/favicons/favicon-32x32.png	(from https://austry-html.vercel.app/index.html)
10:32:32	866/866	---M--	200	added ('OK')	image/png	etag:%2264002490aa5a56337e3b4f889e9b2597%22	https://austry-html.vercel.app/assets/images/favicons/favicon-16x16.png	E:/Templates/austry(sai)/austry-html.vercel.app/assets/images/favicons/favicon-16x16.png	(from https://austry-html.vercel.app/index.html)
10:32:33	263/263	---M--	200	added ('OK')	application/manifest+json	etag:%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://austry-html.vercel.app/assets/images/favicons/site.webmanifest	E:/Templates/austry(sai)/austry-html.vercel.app/assets/images/favicons/site.webmanifest	(from https://austry-html.vercel.app/index.html)
10:32:33	154875/154875	---MCZ	200	added ('OK')	text/css	etag:W/%22bb84936d7c7700b31719a49340a42bd8%22	https://austry-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://austry-html.vercel.app/index.html)
10:32:33	83884/83884	---MCZ	200	added ('OK')	text/css	etag:W/%228f6a0d1a63a3efde82d78da75011800a%22	https://austry-html.vercel.app/assets/vendors/animate/animate.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/animate/animate.min.css	(from https://austry-html.vercel.app/index.html)
10:32:33	28708/28708	---MCZ	200	added ('OK')	text/css	etag:W/%22f95d3f49a7a8200ed897197bbe1b586c%22	https://austry-html.vercel.app/assets/vendors/animate/custom-animate.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/animate/custom-animate.css	(from https://austry-html.vercel.app/index.html)
10:32:34	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22b227b1617a1763c8bc056772f05482b4%22	https://austry-html.vercel.app/assets/vendors/fontawesome/css/all.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/fontawesome/css/all.min.css	(from https://austry-html.vercel.app/index.html)
10:32:34	321/321	---M--	200	added ('OK')	text/css	etag:%22d93b5afc3741add5cd0e2c418e2e2ef4%22	https://austry-html.vercel.app/assets/vendors/jarallax/jarallax.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/jarallax/jarallax.css	(from https://austry-html.vercel.app/index.html)
10:32:34	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2230b593b71d7672658f89bfea0ab360c9%22	https://austry-html.vercel.app/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://austry-html.vercel.app/index.html)
10:32:34	4039/4039	---MCZ	200	added ('OK')	text/css	etag:W/%22846047d35dc896b96b56e3d38da843b5%22	https://austry-html.vercel.app/assets/vendors/nouislider/nouislider.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/nouislider/nouislider.min.css	(from https://austry-html.vercel.app/index.html)
10:32:34	1323/1323	---MCZ	200	added ('OK')	text/css	etag:W/%2290520eea30293355170070910c7e1c0d%22	https://austry-html.vercel.app/assets/vendors/nouislider/nouislider.pips.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/nouislider/nouislider.pips.css	(from https://austry-html.vercel.app/index.html)
10:32:35	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22c5c5fd142cb067412692ca3202cf8884%22	https://austry-html.vercel.app/assets/vendors/odometer/odometer.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/odometer/odometer.min.css	(from https://austry-html.vercel.app/index.html)
10:32:35	13677/13677	---MCZ	200	added ('OK')	text/css	etag:W/%2224f21657c5465ed6e144fb4401350e07%22	https://austry-html.vercel.app/assets/vendors/swiper/swiper.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/swiper/swiper.min.css	(from https://austry-html.vercel.app/index.html)
10:32:35	4991/4991	---MCZ	200	added ('OK')	text/css	etag:W/%22ba74c746643658d823369791bd449c4b%22	https://austry-html.vercel.app/assets/vendors/austry-icons/style.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/austry-icons/style.css	(from https://austry-html.vercel.app/index.html)
10:32:35	2058/2058	---MCZ	200	added ('OK')	text/css	etag:W/%22e936699ccf5208555071afe8a3986fb8%22	https://austry-html.vercel.app/assets/vendors/tiny-slider/tiny-slider.min.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/tiny-slider/tiny-slider.min.css	(from https://austry-html.vercel.app/index.html)
10:32:35	302/302	---M--	200	added ('OK')	text/css	etag:%2219a3321932e1e108e798e1b74622f10a%22	https://austry-html.vercel.app/assets/vendors/reey-font/stylesheet.css	E:/Templates/austry(sai)/austry-html.vercel.app/assets/vendors/reey-font/stylesheet.css	(from https://austry-html.vercel.app/index.html)
